MarketDate,CollectDate,Name,Last,Diff,DiffP
2025-12-08,2025-12-08 14:49:30,DOW,47866.58984375,-88.3984375,-0.1843362717170406
2025-12-08,2025-12-08 14:49:30,NASDAQ100,25704.0,11.94921875,0.0465094003267365
2025-12-08,2025-12-08 14:49:30,RUSSELL2000,2537.34326171875,15.86328125,0.6291258059899795
2025-12-08,2025-12-08 14:49:30,SP500,6864.0400390625,-6.35986328125,-0.0925690406912181
2025-12-08,2025-12-08 13:50:20,US10Y,4.14900016784668,0.0100002288818359,0.2416097856801847
2025-12-08,2025-12-08 03:48:49,USDJPY,155.06700134277344,-0.0749969482421875,-0.0483408419823935
2025-12-08,2025-12-08 08:58:42,VIX,16.170000076293945,0.7600002288818359,4.931863961111377
2025-12-09,2025-12-09 14:51:44,DOW,47898.0703125,158.75,0.3325351072466633
2025-12-09,2025-12-09 14:51:44,NASDAQ100,25587.650390625,-40.298828125,-0.157245621883457
2025-12-09,2025-12-09 14:51:44,RUSSELL2000,2526.599609375,5.61962890625,0.2229144598445041
2025-12-09,2025-12-09 14:51:44,SP500,6854.9501953125,8.4404296875,0.1232807660609463
2025-12-09,2025-12-09 13:50:36,US10Y,4.161999702453613,-0.0100002288818359,-0.2396986828001908
2025-12-09,2025-12-09 03:43:46,USDJPY,155.85499572753906,0.5149993896484375,0.3315304504888922
2025-12-09,2025-12-09 08:57:29,VIX,16.709999084472656,0.0499992370605468,0.3001154712994403
2025-12-10,2025-12-10 14:53:22,NASDAQ100,25586.599609375,-82.08984375,-0.3198053562489381
2025-12-10,2025-12-10 14:53:22,RUSSELL2000,2520.7998046875,-5.440185546875,-0.21534713914374698
2025-12-10,2025-12-10 14:53:22,SP500,6838.66015625,-1.849609375,-0.027039057590337433
2025-12-10,2025-12-10 13:52:41,US10Y,4.193999767303467,0.0079998970031738,0.1911107800058277
2025-12-10,2025-12-10 03:49:03,USDJPY,156.57899475097656,0.7350006103515625,0.4716258810001613
2025-12-10,2025-12-10 08:56:32,VIX,16.969999313354492,0.0399990081787109,0.2362611190649688
